source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,feeling_content,Feeling tags,STANDARD,Content,Contentement,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_relieved,Feeling tags,STANDARD,Relieved,Soulagement,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_hopeful,Feeling tags,STANDARD,Hopeful,Espoir,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_tired,Feeling tags,STANDARD,Tired,Fatigue,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_numb,Feeling tags,STANDARD,Numb,Vide,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_anxious,Feeling tags,STANDARD,Anxious,Anxiété,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_overwhelmed,Feeling tags,STANDARD,Overwhelmed,Trop-plein,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_sad,Feeling tags,STANDARD,Sad,Tristesse,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_frustrated,Feeling tags,STANDARD,Frustrated,Frustration,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_guilty,Feeling tags,STANDARD,Guilty,Culpabilité,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — ED-adjacent tag — keep as plain emotion word, no moralising — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_alone,Feeling tags,STANDARD,Alone,Solitude,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_species_aspen,Companion messages,SENSITIVE,Aspen sprite,Lutin Aspen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — 'Aspen' brand word untranslated; 'sprite' rendered per language — reviewer confirm it reads playful, not ghostly — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_species_cat,Companion messages,SENSITIVE,Cat,Chat,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_species_bunny,Companion messages,SENSITIVE,Bunny,Lapin,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_a11y_label,Companion messages,SENSITIVE,Your companion. Tap to play together.,Ton compagnon. Touche pour jouer ensemble.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_rest_action,Companion messages,SENSITIVE,Rest now,Au repos,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_companion_title,Companion presence settings,STANDARD,A small companion,Un petit compagnon,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_companion_subtitle_off,Companion presence settings,STANDARD,"Off. A tiny pixel friend can sit quietly in the corner, only if you want.","Désactivé. Un petit ami en pixels peut s'installer sagement dans un coin, seulement si tu veux.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_companion_subtitle_on,Companion presence settings,STANDARD,Keeping you company. Tap to let it rest.,Il te tient compagnie. Touche pour le laisser se reposer.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_companion_species_label,Companion presence settings,STANDARD,Who keeps you company,Qui te tient compagnie,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_overlay_title,Overlay settings,STANDARD,Across your screen,Sur tout ton écran,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_overlay_subtitle_off,Overlay settings,STANDARD,The companion stays inside Aspen.,Le compagnon reste dans Aspen.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_overlay_subtitle_on,Overlay settings,STANDARD,"The companion can sit at the edge of your screen, outside Aspen too.","Le compagnon peut s'installer au bord de ton écran, aussi en dehors d'Aspen.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_overlay_dialog_title,Overlay settings,STANDARD,Let it sit outside Aspen?,Le laisser sortir d'Aspen ?,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_overlay_dialog_body,Overlay settings,STANDARD,"Android will ask you to allow Aspen to “display over other apps”. That only lets the companion sit on your screen — Aspen cannot see, read, or record anything you do there. It hides on its own during videos and games, and you can let it rest anytime.","Android te demandera d'autoriser Aspen à « s'afficher par-dessus d'autres applis ». Cela permet seulement au compagnon de rester sur ton écran — Aspen ne peut rien voir, lire ni enregistrer de ce que tu y fais. Il se cache tout seul pendant les vidéos et les jeux, et tu peux le laisser se reposer à tout moment.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Quoted permission name should match the OS's own localized string for 'display over other apps' — reviewer verify against Android system UI in this language — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_overlay_dialog_confirm,Overlay settings,STANDARD,"Okay, continue","D'accord, continuer",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_overlay_dialog_cancel,Overlay settings,STANDARD,Not now,Pas maintenant,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,overlay_channel_name,Overlay notification,STANDARD,Companion,Compagnon,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,overlay_channel_description,Overlay notification,STANDARD,Keeps the little companion on your screen. Quiet by design.,Garde le petit compagnon sur ton écran. Silencieux par nature.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,overlay_notification_title,Overlay notification,STANDARD,Your companion is nearby,Ton compagnon est tout près,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,overlay_notification_body,Overlay notification,STANDARD,It sits quietly at the edge of the screen. You can let it rest anytime from Aspen.,Il reste sagement au bord de l'écran. Tu peux le laisser se reposer à tout moment depuis Aspen.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_notify_title,Notifications,STANDARD,A rare hello,Un bonjour de temps en temps,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_notify_subtitle_off,Notifications,STANDARD,Off. Aspen stays completely silent.,Désactivé. Aspen reste complètement silencieux.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_notify_subtitle_on,Notifications,STANDARD,"Once in a while, a gentle hello. Nothing is ever asked of you.","De temps en temps, un doux bonjour. Rien ne t'est jamais demandé.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,notify_channel_name,Notifications,STANDARD,Gentle check-ins,Petits bonjours,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,notify_channel_description,Notifications,STANDARD,"A quiet hello from your companion, once in a while.","Un bonjour discret de ton compagnon, de temps en temps.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_account_title,Account,STANDARD,An account (optional),Un compte (facultatif),PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_account_subtitle_off,Account,STANDARD,Everything works without one. An account only adds the choice to back up later.,Tout fonctionne sans. Un compte ajoute seulement la possibilité de sauvegarder plus tard.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,settings_account_subtitle_on,Account,STANDARD,Signed in. Your writing still lives on this device.,Session ouverte. Tes écrits restent sur cet appareil.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_mode_create,Account,STANDARD,Create,Créer,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_mode_signin,Account,STANDARD,Sign in,Se connecter,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_email_optional,Account,STANDARD,"Email (optional, helps you recover sign-in)","E-mail (facultatif, aide à récupérer la connexion)",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_identifier,Account,STANDARD,Email or account ID,E-mail ou identifiant de compte,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_password,Account,STANDARD,Password,Mot de passe,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_submit_create,Account,STANDARD,Create account,Créer le compte,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_submit_signin,Account,STANDARD,Sign in,Se connecter,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_note_local,Account,STANDARD,Your writing stays on this device either way.,"Tes écrits restent sur cet appareil, quoi qu'il arrive.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_id_caption,Account,STANDARD,Account ID (your way back in if no email is attached): %1$s,Identifiant de compte (ton moyen de revenir si aucun e-mail n'est associé) : %1$s,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Contains Android placeholder %1$s — must be preserved verbatim — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_error_denied,Account,STANDARD,That didn't match. Take your time and try again whenever.,Ça ne correspond pas. Prends ton temps et réessaie quand tu veux.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_error_email_taken,Account,STANDARD,That email already has an account. You can sign in instead.,Cet e-mail a déjà un compte. Tu peux te connecter à la place.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_error_weak_password,Account,STANDARD,A longer password is needed here.,Il faut un mot de passe plus long ici.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_error_unavailable,Account,STANDARD,Aspen couldn't reach the server just now. Everything on this device is unaffected.,Aspen n'a pas pu joindre le serveur pour l'instant. Tout ce qui est sur cet appareil reste intact.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_signout,Account,STANDARD,Sign out,Se déconnecter,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_signout_subtitle,Account,STANDARD,Ends the session on this device. Your writing stays.,Met fin à la session sur cet appareil. Tes écrits restent.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_delete,Account,STANDARD,Delete this account,Supprimer ce compte,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_delete_subtitle,Account,STANDARD,Removes the account and anything backed up. Writing on this device stays.,Supprime le compte et tout ce qui est sauvegardé. Les écrits sur cet appareil restent.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_delete_dialog_title,Account,STANDARD,Delete this account?,Supprimer ce compte ?,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_delete_dialog_body,Account,STANDARD,"The account and anything backed up to it will be permanently removed. Everything written on this device stays here, untouched.","Le compte et tout ce qui y est sauvegardé seront définitivement supprimés. Tout ce qui est écrit sur cet appareil reste ici, intact.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_delete_confirm,Account,STANDARD,Delete the account,Supprimer le compte,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,account_delete_cancel,Account,STANDARD,Keep it,Le garder,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,backup_title,Backup,STANDARD,Back up (optional),Sauvegarde (facultative),PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,backup_subtitle_off,Backup,STANDARD,Keep an encrypted copy with your account. It's locked before it leaves your phone.,Garde une copie chiffrée avec ton compte. Elle est verrouillée avant de quitter ton téléphone.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,backup_subtitle_on,Backup,STANDARD,On. Backed up only when you choose.,Activée. Sauvegardé seulement quand tu le choisis.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,backup_passphrase,Backup,STANDARD,A passphrase for your backup,Une phrase secrète pour ta sauvegarde,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
