source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,onb_q2_varies,Onboarding questionnaire,SENSITIVE,It varies,Ça varie,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_likert_not_really,Onboarding questionnaire,SENSITIVE,Not really,Pas vraiment,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_likert_sometimes,Onboarding questionnaire,SENSITIVE,Sometimes,Parfois,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_likert_often,Onboarding questionnaire,SENSITIVE,Often,Souvent,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q3_title,Onboarding questionnaire,SENSITIVE,"Do you find yourself holding back from eating, even when part of you wants or needs to?","T'arrive-t-il de te retenir de manger, même quand une partie de toi en a envie ou besoin ?",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q4_title,Onboarding questionnaire,SENSITIVE,"Do you ever feel that once you start eating, it's hard to feel in control?","As-tu parfois l'impression qu'une fois que tu commences à manger, il est difficile de te sentir aux commandes ?",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q5_title,Onboarding questionnaire,SENSITIVE,"After eating, do you often feel a strong urge to make up for it somehow?","Après avoir mangé, ressens-tu souvent une forte envie de compenser d'une manière ou d'une autre ?",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — English is deliberately euphemistic ('make up for it') — reviewer must keep compensatory behaviours implicit, never name them (anti-shame lint) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q6_title,Onboarding questionnaire,SENSITIVE,"Is eating hard mainly because of how foods feel, taste, or smell, or worry about what eating might do, rather than worry about your body or shape?","Manger est-il difficile surtout à cause de la texture, du goût ou de l'odeur des aliments, ou par crainte de ce que manger pourrait provoquer, plutôt que par inquiétude pour ton corps ou ta silhouette ?",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — ARFID-screening item — reviewer confirm the sensory/consequence framing survives translation distinctly from body/shape concern — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q6_yes,Onboarding questionnaire,SENSITIVE,Yes,Oui,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q6_somewhat,Onboarding questionnaire,SENSITIVE,Somewhat,Un peu,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q6_no,Onboarding questionnaire,SENSITIVE,No,Non,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q7_title,Onboarding questionnaire,SENSITIVE,How much do thoughts about your body or shape affect your day?,À quel point les pensées sur ton corps ou ta silhouette pèsent-elles sur ta journée ?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q7_not_much,Onboarding questionnaire,SENSITIVE,Not much,Pas beaucoup,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q7_sometimes,Onboarding questionnaire,SENSITIVE,Sometimes,Parfois,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q7_a_lot,Onboarding questionnaire,SENSITIVE,A lot,Beaucoup,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q8_title,Onboarding questionnaire,SENSITIVE,How much is this getting in the way of your everyday life right now?,À quel point cela gêne-t-il ta vie quotidienne en ce moment ?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q8_a_little,Onboarding questionnaire,SENSITIVE,A little,Un peu,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q8_some,Onboarding questionnaire,SENSITIVE,Some,Assez,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q8_a_lot,Onboarding questionnaire,SENSITIVE,A lot,Beaucoup,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q9_title,Onboarding questionnaire,SENSITIVE,"Do you have anyone, a professional or someone you trust, supporting you with this?",As-tu quelqu'un — un professionnel ou une personne de confiance — qui t'accompagne là-dedans ?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q9_professional,Onboarding questionnaire,SENSITIVE,"Yes, a professional","Oui, un professionnel",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q9_trusted,Onboarding questionnaire,SENSITIVE,"Yes, someone I trust","Oui, quelqu'un en qui j'ai confiance",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q9_none,Onboarding questionnaire,SENSITIVE,Not right now,Pas pour le moment,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q10_title,Onboarding questionnaire,SENSITIVE,"On the hardest days, would it help to have a quick way to reach a person?","Les jours les plus difficiles, est-ce que cela t'aiderait d'avoir un moyen rapide de joindre une personne ?",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q10_set_up,Onboarding questionnaire,SENSITIVE,"Yes, set that up","Oui, mettre ça en place",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q10_maybe_later,Onboarding questionnaire,SENSITIVE,Maybe later,Peut-être plus tard,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q10_no,Onboarding questionnaire,SENSITIVE,No,Non,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_closing_title,Onboarding questionnaire,SENSITIVE,Thank you for sharing,Merci d'avoir partagé,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_closing_body,Onboarding questionnaire,SENSITIVE,"Aspen will gently shape itself around what you've said, and you can change any of this anytime. One thing worth saying clearly: this isn't a diagnosis or an assessment. If you'd like to find real, specialist support, here's where to start.","Aspen s'ajustera en douceur à ce que tu as dit, et tu peux modifier tout cela à tout moment. Une chose mérite d'être dite clairement : ceci n'est ni un diagnostic ni une évaluation. Si tu souhaites trouver un vrai soutien spécialisé, voici par où commencer.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_closing_find_help,Onboarding questionnaire,SENSITIVE,Find real support,Trouver un vrai soutien,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_closing_continue,Onboarding questionnaire,SENSITIVE,Go to Aspen,Aller vers Aspen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
